# associated file path and the corresponding camera poses
# time_stamp, rgb_image, depth_image, tx, ty, tz, qx, qy, qz, qw 
16.2153 rgb/1692837034.251021.png depth/1692837034.248605.png 0.0504667 0.073854 3.72338 -0.00486287 0.0125196 0.000621842 0.99991
16.2307 rgb/1692837034.266424.png depth/1692837034.265256.png 0.0488884 0.0719781 3.72984 -0.00458881 0.0134298 -0.000257747 0.999899
16.2587 rgb/1692837034.294489.png depth/1692837034.293348.png 0.0476082 0.0729425 3.73688 -0.00351426 0.014313 -0.000668101 0.999891
16.2931 rgb/1692837034.328863.png depth/1692837034.327689.png 0.0473634 0.0739003 3.7422 -0.00284604 0.0144229 -0.000305751 0.999892
16.3323 rgb/1692837034.368080.png depth/1692837034.366275.png 0.0459947 0.0736438 3.74849 -0.00257714 0.0141928 9.51987e-05 0.999896
16.3661 rgb/1692837034.401886.png depth/1692837034.400138.png 0.0479714 0.073059 3.75657 -0.00234223 0.0135711 -0.000211104 0.999905
16.3992 rgb/1692837034.434971.png depth/1692837034.433484.png 0.0471792 0.0744105 3.76334 -0.00182907 0.013533 -0.000449222 0.999907
16.4427 rgb/1692837034.478411.png depth/1692837034.476667.png 0.0462258 0.0747693 3.77161 -0.00198477 0.0133715 -0.00018101 0.999909
16.4607 rgb/1692837034.496464.png depth/1692837034.495346.png 0.0475583 0.0750326 3.78021 -0.00211306 0.0131002 0.000327491 0.999912
16.5049 rgb/1692837034.540591.png depth/1692837034.538795.png 0.0473925 0.0735815 3.78827 -0.00192829 0.0126221 0.000340098 0.999918
16.532 rgb/1692837034.567708.png depth/1692837034.566266.png 0.0491913 0.0735797 3.79592 -0.00121002 0.0120068 0.000360597 0.999927
16.5606 rgb/1692837034.596338.png depth/1692837034.595106.png 0.0499281 0.0761578 3.80754 -0.000333634 0.0121904 0.000225559 0.999926
16.5938 rgb/1692837034.629532.png depth/1692837034.628307.png 0.050129 0.0759012 3.81588 -0.000263618 0.0124533 0.000186692 0.999922
16.6308 rgb/1692837034.666512.png depth/1692837034.664965.png 0.0503534 0.0758367 3.82241 -0.000281059 0.0128144 0.000438398 0.999918
16.6676 rgb/1692837034.703340.png depth/1692837034.701382.png 0.050348 0.0757426 3.83033 -0.000105311 0.0129015 0.000352043 0.999917
16.7003 rgb/1692837034.736051.png depth/1692837034.734498.png 0.0507078 0.0756104 3.83866 0.000182904 0.0128521 0.00021992 0.999917
16.7304 rgb/1692837034.766151.png depth/1692837034.764666.png 0.0515755 0.0760343 3.84548 0.000731785 0.0129659 0.000414059 0.999916
16.7637 rgb/1692837034.799465.png depth/1692837034.797984.png 0.0494615 0.0761742 3.85333 0.000842721 0.0133047 0.000745773 0.999911
16.7971 rgb/1692837034.832808.png depth/1692837034.831339.png 0.05044 0.0771474 3.86021 0.000882242 0.0129837 0.000972919 0.999915
16.8305 rgb/1692837034.866194.png depth/1692837034.864742.png 0.0499882 0.0774146 3.86815 0.000223588 0.0129122 0.000933045 0.999916
16.8638 rgb/1692837034.899558.png depth/1692837034.898069.png 0.0503441 0.0776187 3.87724 -0.000342937 0.0128926 0.000599318 0.999917
16.8972 rgb/1692837034.932932.png depth/1692837034.931476.png 0.0495005 0.0769124 3.88468 -0.00093515 0.0129846 0.000490766 0.999915
